110,10
4,3
4,7
4,32
19,63
111,43
2,10
12,20
4,50
107,31
21,31
15,15
7,35
109,43
7,53
9,7
10,50
3,43
15,53
10,14
21,53
15,35
12,26
19,35
19,4
18,8
18,30
25,53
110,20
2,60
23,31
23,25
2,14
110,14
12,32
10,30
15,23
18,18
7,47
23,13
111,27
109,23
23,43
107,25
4,10
25,47
9,35
15,31
25,3
25,23
111,13
3,27
18,20
18,10
18,66
12,30
21,25
12,58
25,45
110,50
12,54
9,23
109,47
110,30
109,13
2,36
12,14
12,28
2,38
21,13
110,26
4,4
21,43
18,54
10,58
21,7
23,7
107,53
23,55
3,13
107,13
4,8
110,4
25,15
7,27
109,45
111,25
7,25
110,66
18,38
19,27
107,7
18,32
10,66
2,30
111,45
10,38
107,55
110,58
2,8
19,25
19,13
3,45
107,27
4,26
18,28
9,3
18,40
19,47
9,13
10,36
10,10
4,18
12,38
12,40
18,50
23,15
3,15
111,23
10,28
109,53
9,55
23,27
107,47
25,43
12,50
111,3
7,31
9,45
111,31
15,13
15,55
15,25
10,4
21,27
19,55
21,23
109,31
3,63
109,15
25,63
25,35
4,38
7,43
109,27
10,18
2,18
25,55
15,27
9,47
7,3
110,36
18,4
12,36
10,40
111,7
25,7
111,35
23,53
9,15
109,35
109,55
19,15
110,18
19,31
110,28
7,7
110,54
7,45
111,53
19,45
2,20
18,36
19,23
15,3
9,31
15,7
10,54
9,43
2,54
23,35
21,55
111,15
4,66
18,60
107,43
109,25
10,8
23,3
4,30
3,31
2,40
21,47
12,18
4,58
3,47
9,63
18,26
107,3
10,32
2,26
25,27
10,60
19,43
3,55
9,27
10,26
107,23
23,47
25,25
109,63
21,45
110,8
21,3
9,25
19,53
4,54
4,60
12,60
3,25
3,23
110,40
4,28
19,3
25,31
111,63
2,32
110,32
18,14
110,38
4,40
15,45
7,55
21,63
2,4
12,8
107,15
7,13
111,47
23,63
109,3
4,36
9,53
109,7
12,10
4,20
12,66
3,35
15,47
21,35
7,15
107,63
2,66
23,23
15,63
110,60
3,7
19,7
12,4
10,20
2,28
21,15
23,45
3,3
18,58
107,45
7,63
25,13
2,58
4,14
2,50
7,23
3,53
111,55
15,43
107,35
