58,Automated reasoning
45,Coding theory
66,Evolutionary computing
26,Artificial intelligence
55,Algorithms
53,Mathematical logic
31,Data mining
8,Computer architecture
3,Computer programming
7,Software engineering
27,Computer graphics
54,Number theory
30,Distributed computing
20,Programming language pragmatics
40,Automata theory
38,Web programming
28,Parallel computing
43,Computational complexity theory
25,Web designing
4,Data structures
23,Algorithm design
35,Numerical analysis
63,Soft computing
36,Human Computer interaction
10,Operating systems
14,Computer security
47,Game theory
60,Computer vision
13,Machine learning
15,Relational databases
32,Compiler theory
18,Structured Storage
50,Graph theory
